id;cname;cpath;clogourl;title;path;tags;detailtags;ctype;cindustry;csize;jexperience;jtype;jsubtype;jlocation;jcontract;jremote;jsalary
145;Ignition Program;/company/ignition-program-2887;https://api.azertyjobs.com/companies/2887/logo.png?JFE6Y;Bras droit CEO (marketing digital ou business development) @580 startups possibles;/job/bras-droit-ceo-marketing-digital-ou-business-development-at580-startups-possibles-ignition-program-cdi-paris-1;"[""CDI"", ""Marketing / Communication""]";"[""37 Rue de Ponthieu 75008 Paris""]";startup;tech;20-49 employés;2;Marketing & communication;stratégie;Paris;cdi;non;45000;
141;INSIDR;/company/insidr-1293;https://api.azertyjobs.com/companies/1293/logo.png;Manager des OpÌ©rations;/job/manager-des-operations-insidr-stage-paris-2;"[""STAGE"", ""Support""]";"[""Rue des Lombards 75004 Paris"", ""8 employÌ©s"", ""27 ans""]";startup;autres;20-49 employés;0;Autre;tbd;Paris;stage;non;15000;
152;Jaiungrain;/company/jaiungrain-415;https://api.azertyjobs.com/companies/415/logo.png;Growth Hacker & Community Manager - Box CafÌ©;/job/growth-hacker-community-manager-jaiungrain-stage-paris;"[""STAGE"", ""Marketing / Communication""]";"["" 75020 Paris""]";startup;food;10-19 employés;0;Marketing & communication;opérationnel;Paris;stage;non;20000;
168;Koober;/company/koober-2145;https://api.azertyjobs.com/companies/2145/logo.png;Customer Happiness Manager Junior;/job/stage-customer-happiness-manager-junior-koober-stage-paris;"[""STAGE"", ""Support""]";"[""157 Boulevard Macdonald 75019 Paris""]";startup;autres;10-19 employés;0;Autre;tbd;Paris;stage;non;18000;
179;Koober;/company/koober-2145;https://api.azertyjobs.com/companies/2145/logo.png;UX/UI Designer;/job/stage-uxui-designer-koober-cdi-paris;"[""Stage"", ""Design & UX-UI""]";"[""157 Boulevard Macdonald 75019 Paris""]";startup;autres;10-19 employés;0;Marketing & communication;réseaux sociaux;Paris;stage;non;15000;
162;LearnAssembly;/company/learnassembly-2929;https://api.azertyjobs.com/companies/2929/logo.png;Business Developer;/job/business-developer-learnassembly-stage-paris-1;"[""STAGE"", ""Business Development / Sales""]";"[""Rue de ClÌ©ry 75002 Paris""]";startup;autres;10-19 employés;0;Bizdev / sales;tbd;Paris;stage;non;15000;
169;LeCiseau;/company/leciseau-236;https://api.azertyjobs.com/companies/236/logo.png;Account Manager;/job/account-manager-leciseau-stage-paris-6e-arrondissement;"[""STAGE"", ""Business Development / Sales""]";"[""76, rue de Rennes 75006 Paris-6E-Arrondissement"", ""6 employÌ©s"", ""27 ans"", ""1 M dÌ_Ì_åÈÌ_åäÌ´ levÌ©s""]";startup;autres;10-19 employés;0;Bizdev / sales;tbd;Paris;stage;non;15000;
167;Les Others;/company/les-others-3278;https://api.azertyjobs.com/companies/3278/logo_d58a8a770c7e1cc9b5d4a0f03eb62f1f.jpg;Video Content Creator (cadreur, monteur, motion designer);/job/video-content-creator-cadreur-monteur-motion-designer-les-others-stage-paris;"[""STAGE"", ""Design & UX-UI""]";"[""18 rue Saulnier 75009 PARIS""]";startup;autres;10-19 employés;0;Marketing & communication;communication;Paris;stage;non;15000;
144;LoisirsEnchÌ_Ìâres;/company/loisirsencheres-2171;https://api.azertyjobs.com/companies/2171/logo.png?ozW4Y;Lead dÌ©veloppeur Ionic (iOS & Android);/job/lead-developpeur-ionic-ios-android-loisirsencheres-cdi-bordeaux;"[""CDI"", ""IT & Dev""]";"[""9 rue andrÌ© Darbon 33300 Bordeaux"", ""25 employÌ©s""]";startup;retail;20-49 employés;4;IT & dev;tbd;Bordeaux;cdi;non;42000;
157;LOMA Innovation S.A.S.;/company/loma-innovation-sas-3283;https://api.azertyjobs.com/companies/3283/logo.png?90Nbs;Business Developpement;/job/associe-business-developpement-loma-innovation-sas-cdi-vitry-sur-seine;"[""ASSOCIE"", ""Business Development / Sales""]";"[""15 rue des Clotais 94360 Bry-sur-Marne"", ""3 employÌ©s"", ""21 ans"", ""0 M dÌ_Ì_åÈÌ_åäÌ´ levÌ©s"", ""83% d'hommes"", ""17% de femmes""]";startup;tech;< 10 employés;3;Bizdev / sales;tbd;Vitry-sur-Seine;cdi;non;38000;
161;Ma Petite Ecurie;/company/ma-petite-ecurie-3277;https://api.azertyjobs.com/companies/3277/logo.jpg?xIL9q;Business Developper - Account Manager;/job/business-developper-account-manager-ma-petite-ecurie-stage-paris;"[""STAGE"", ""Business Development / Sales""]";"[""rue de vaugirard 75015 Paris""]";startup;autres;10-19 employés;0;Bizdev / sales;tbd;Paris;stage;non;15000;
166;Maddyness;/company/maddyness-3150;https://azertyjobs.com/app/uploads/2016/07/Logo-Maddyness-Carreí-1024x1013.png;RÌ©alisateur / RÌ©alisatrice;/job/realisateur-realisatrice-cdi-maddyness-cdi-paris;"[""CDI"", ""Autre""]";"[""59 rue Beaubourg 75003 Paris"", ""20 employÌ©s"", ""27 ans"", ""40% d'hommes"", ""60% de femmes""]";agence;tech;20-49 employés;2;Autre;tbd;Paris;cdi;non;36000;
172;Manners;/company/manners-652;https://api.azertyjobs.com/companies/652/logo.png;Assistant Responsable Communication;/job/assistant-responsable-communication-manners-stage-paris;"[""STAGE"", ""Marketing / Communication""]";"[""24 Avenue Marceau 75008 Paris""]";startup;services b2b;20-49 employés;0;Marketing & communication;communication;Paris;stage;non;15000;
